"filename", "language", "JSON", "TypeScript", "JavaScript", "MS SQL", "JSON with Comments", "HTML", "XML", "TypeScript JSX", "PostCSS", "Shell Script", "comment", "blank", "total"
"/home/andika/Projects/college-shits/website-desa/src/react-app/components/pengelolaan-pbb/TabelSuratPBB.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 4, 78
"/home/andika/Projects/college-shits/website-desa/src/react-app/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 1, 13, 92
"/home/andika/Projects/college-shits/website-desa/src/react-app/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 327, 0, 1, 62, 390
"/home/andika/Projects/college-shits/website-desa/src/react-app/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/CekPembayaran.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 10, 114
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/ForgotPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 9, 62
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 2, 5, 82
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 14, 107
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 13, 174
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/TrackingData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 6, 19, 286
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/DashboardAdminPengaduan.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 1, 32, 377
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/DashboardMasyarakat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 21, 235
"/home/andika/Projects/college-shits/website-desa/src/react-app/pages/pengaduan-masyarakat/LoginPengaduan.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 14, 90
